Meme ID,Language
10509464,et
12285257,en
20612245,en
20614628,en
24194267,en
10178734,ru
10178750,ru
10178758,ru
10178763,ru
10178766,es
10178770,ru
10178776,es
10178785,ca
10178788,ru
10178798,ru
10178837,es
10178888,es
10178897,pt
10178908,en
10178914,ru
10178947,ru
10178965,ru
10178967,ru
10178983,es
10178994,ru
10178995,nl
10179010,es
10179019,ru
10179023,ru
10179030,uk
10179034,ru
10179067,ru
10179070,en
10179086,bg
10179093,ru
10179099,pt
10179119,hr
10179127,es
10179132,ru
10179134,mk
10179175,es
10179201,ru
10179216,ru
10179222,ru
10179224,ru
10179243,ru
10179277,es
10179279,ru
10179289,ru
10179292,uk
10179303,uk
10179322,es
10179347,ru
10179360,es
10179404,ru
10179414,uk
10179437,es
10179440,ru
10179445,es
10179446,ru
10179488,ru
10179507,ru
10179520,ru
10179524,es
10179527,es
10179528,ru
10179537,ru
10179542,ru
10179547,ru
10179556,en
10179566,ru
10179569,ru
10179572,ru
10179584,uk
10179597,bg
10179603,ru
10179615,es
10179664,ru
10179669,ru
10179675,ru
10179686,fr
10179689,ru
10179690,ru
10179725,ru
10179757,ru
10179769,ru
10179775,ru
10179780,mk
10179797,ru
10179808,ru
10179853,ru
10179878,ru
10179892,ru
10179896,uk
10179930,ru
10179959,bg
10179968,ru
10180094,so
10180115,ru
10180128,ru
10180141,ru
10180153,ru
10180205,es
10180234,ru
10180235,ru
10180245,ru
10180250,ru
10180259,ru
10180274,ru
10180335,bg
10180354,ru
10180365,es
10180366,ru
10180403,es
10180416,ru
10180418,ru
10180439,ru
10180447,ru
10180452,ru
10180459,bg
10180480,ru
10180484,ru
10180485,uk
10180496,it
10180501,ru
10180529,ru
10180567,ru
10180582,pt
10180625,ru
10180685,ca
10180688,ru
10180704,ru
10180745,ru
10180756,ru
10180775,ru
10180797,en
10180822,bg
10180846,ru
10180864,ru
10180929,mk
10180937,en
10180986,es
10181004,ru
10181023,en
10181044,bg
10181045,ru
10181051,ru
10181084,vi
10181087,uk
10181100,mk
10181111,ru
10181120,en
10181129,ru
10181139,es
10181145,ru
10181166,bg
